FUEL,ARM
25,6208.000
50,6209.000
75,6210.000
100,6210.000
125,6210.000
150,6210.000
175,6210.000
200,6210.000
225,6210.000
250,6210.000
275,6210.000
300,6210.000
325,6210.000
350,6211.000
375,6211.000
400,6211.000
425,6211.000
450,6211.000
475,6211.000
500,6212.000
525,6212.000
550,6212.000
575,6212.000
600,6213.000
625,6213.000
650,6214.000
675,6214.000
700,6214.000
725,6215.000
750,6215.000
775,6216.000
800,6217.000
825,6219.000
850,6220.000
875,6222.000
900,6221.000
925,6221.000
950,6222.000
975,6223.000
1000,6223.000
1025,6224.000
1050,6225.000
1075,6225.000
1100,6226.000
1125,6227.000
1150,6227.000
1175,6227.000
1200,6228.000
1225,6228.000
1250,6229.000
1270,6229.000
1275,6229.000
1300,6229
1325,6230.000
1350,6231
1400,6231
1425,6231
1450,6232
1475,6232
1500,6232
1525,6232
1550,6233
1575,6233
1600,6234
1625,6234
1650,6234
1670,6234
